ds,yhat,yhat_lower,yhat_upper
2022-06-28,1743033.627745022,1508566.3563790366,1973321.9405815653
2022-06-29,1760882.9019260227,1518275.6637005939,1985261.9417961736
2022-06-30,1736340.1525115084,1509359.3197000807,1964618.495602295
2022-07-01,1711895.7101717116,1465560.9808558866,1940226.3630982907
2022-07-02,1883785.0384637744,1645788.2608168737,2105350.6831560675
2022-07-03,1904193.8748553065,1659963.4237941757,2140838.4601476574
2022-07-04,1747324.7534732802,1535692.9109981088,1983655.0238373722
2022-07-05,1721565.0596328813,1495488.1289180883,1957295.905968497
2022-07-06,1768042.9345670086,1537067.4334187235,1987489.7810486555
2022-07-07,1783011.7127152085,1559403.461039052,2012387.2682543544
2022-07-08,1796417.1769526994,1568585.9529608176,2017293.3730565766
2022-07-09,1987659.9392314854,1767479.0608282634,2213906.5706965444
2022-07-10,1997642.599656377,1768596.4206973282,2228070.1061155475
2022-07-11,1802586.9746474845,1588421.6060108088,2038059.0461923573
2022-07-12,1725699.4294609781,1498726.0138966653,1967871.5961487857
2022-07-13,1727127.8445257721,1499205.0559353735,1946181.2793649992
2022-07-14,1716204.0064411273,1483206.4550421506,1951981.5052336142
2022-07-15,1725792.4123980945,1482721.1082631827,1959031.9908133752
2022-07-16,1931262.00247505,1700841.7751502597,2174947.1132177217
2022-07-17,1968244.2813992228,1730529.3271110796,2194965.563304901
2022-07-18,1808326.3631520965,1586391.2490117904,2033207.0404807162
2022-07-19,1768081.1491870866,1527474.1115230406,2009509.2935125118
2022-07-20,1796660.5021322442,1562042.811076274,2022630.2019755824
2022-07-21,1790965.1047000242,1552582.4636684486,2009261.493389755
2022-07-22,1777998.1617312937,1538819.4666117276,2001789.2302448389
2022-07-23,1940390.3364900462,1701049.8333957882,2168734.7777329977
2022-07-24,1932463.8996058456,1717987.0834637259,2166821.312448433
2022-07-25,1745308.8307035167,1506222.6684527874,1972388.6617835613
2022-07-26,1703854.6933777174,1477449.1954506484,1914574.7972510615
2022-07-27,1750175.509597906,1518688.6329347566,1985291.0534450077
2022-07-28,1764884.360946021,1534086.053074689,1973827.870599562
2022-07-29,1760970.5740822481,1529464.7219064804,1985020.2679449841
